-13178,-5071,-8107
-12343,-3998,-8345
-2006,-1886,-120
-11956,-5678,-6278
-8588,-657,-7931
-7229,-5340,-1889
-3181,-545,-2636
-16655,-6791,-9864
-13101,-6552,-6549
-14207,-6132,-8075
-4969,-3005,-1964
-8324,-3459,-4865
-14156,-7884,-6272
-2054,-782,-1272
-10218,-7993,-2225
-8437,-7876,-561
-5774,-4743,-1031
-7973,-5760,-2213
-6226,-1964,-4262
-9556,-555,-9001
-16383,-7599,-8784
-3515,-2400,-1115
-8637,-1998,-6639
-6789,-5917,-872
-9050,-1152,-7898
-3307,-773,-2534
-10265,-604,-9661
-16375,-7538,-8837
-7373,-2914,-4459
-16251,-9748,-6503
-11154,-9180,-1974
-15827,-7665,-8162
-7658,-5882,-1776
-9216,-8473,-743
-6121,-1341,-4780
-11848,-5859,-5989
-13592,-6946,-6646
-4602,-963,-3639
-8385,-4346,-4039
-12521,-7520,-5001
-11976,-8632,-3344
-5264,-2535,-2729
-10482,-8408,-2074
-17234,-9481,-7753
-6476,-3344,-3132
-4677,-4016,-661
-14993,-9265,-5728
-8769,-4796,-3973
-10927,-3252,-7675
-5124,-1665,-3459
-10431,-762,-9669
-8714,-637,-8077
-8637,-5219,-3418
-5513,-899,-4614
-6067,-1708,-4359
-8385,-7916,-469
-17121,-9815,-7306
-5377,-3074,-2303
-8745,-6613,-2132
-10183,-9702,-481
-9489,-7116,-2373
-17899,-9646,-8253
-10486,-7241,-3245
-7165,-4869,-2296
-10358,-9846,-512
-13692,-4656,-9036
-13456,-6814,-6642
-8025,-2869,-5156
-7977,-4785,-3192
-13903,-8133,-5770
-14809,-8113,-6696
-17534,-7567,-9967
-10205,-7168,-3037
-3280,-82,-3198
-8719,-210,-8509
-13506,-6332,-7174
-6091,-3056,-3035
-15036,-7574,-7462
-15571,-5571,-10000
-9765,-6257,-3508
-10033,-4474,-5559
-6497,-1084,-5413
-5950,-491,-5459
-5655,-4176,-1479
-8252,-4280,-3972
-11459,-4640,-6819
-13598,-9369,-4229
-11313,-8978,-2335
-12516,-9062,-3454
-5034,-805,-4229
-4860,-3091,-1769
-16812,-8039,-8773
-2155,-1166,-989
-17516,-9249,-8267
-10961,-3791,-7170
-7957,-5519,-2438
-15570,-8715,-6855
-15764,-7845,-7919
-8851,-7088,-1763
-11921,-6274,-5647
-7251,-5229,-2022
-5803,-1719,-4084
-14450,-5343,-9107
-18600,-9920,-8680
-12145,-4848,-7297
-7422,-6348,-1074
-10296,-5270,-5026
-14311,-8935,-5376
-748,-88,-660
-5766,-1963,-3803
